surrogate key,property,housing
1,real_estate,own
2,real_estate,own
3,real_estate,own
4,life_insurance_or_aggreements,for_free
5,unknown_or_no_property,for_free
6,unknown_or_no_property,for_free
7,life_insurance_or_aggreements,own
8,car_or_other,rent
9,real_estate,own
10,car_or_other,own
11,car_or_other,rent
12,life_insurance_or_aggreements,rent
13,car_or_other,own
14,car_or_other,own
15,car_or_other,rent
16,car_or_other,own
17,life_insurance_or_aggreements,own
18,car_or_other,own
19,unknown_or_no_property,for_free
20,car_or_other,own
21,car_or_other,own
22,real_estate,rent
23,real_estate,rent
24,life_insurance_or_aggreements,own
25,car_or_other,own
26,real_estate,own
27,car_or_other,own
28,real_estate,rent
29,real_estate,own
30,unknown_or_no_property,own
31,real_estate,own
32,car_or_other,own
33,car_or_other,own
34,unknown_or_no_property,rent
35,life_insurance_or_aggreements,own
36,life_insurance_or_aggreements,own
37,unknown_or_no_property,for_free
38,real_estate,own
39,car_or_other,own
40,real_estate,own
41,car_or_other,own
42,car_or_other,own
43,real_estate,own
44,car_or_other,rent
45,unknown_or_no_property,for_free
46,car_or_other,own
47,car_or_other,own
48,life_insurance_or_aggreements,rent
49,life_insurance_or_aggreements,own
50,real_estate,own
51,life_insurance_or_aggreements,own
52,car_or_other,own
53,car_or_other,own
54,life_insurance_or_aggreements,own
55,unknown_or_no_property,for_free
56,real_estate,own
57,unknown_or_no_property,own
58,car_or_other,own
59,car_or_other,own
60,unknown_or_no_property,rent
61,real_estate,own
62,real_estate,own
63,unknown_or_no_property,for_free
64,car_or_other,own
65,life_insurance_or_aggreements,own
66,life_insurance_or_aggreements,own
67,car_or_other,own
68,real_estate,own
69,unknown_or_no_property,for_free
70,car_or_other,own
71,life_insurance_or_aggreements,own
72,life_insurance_or_aggreements,rent
73,unknown_or_no_property,for_free
74,real_estate,own
75,unknown_or_no_property,own
76,unknown_or_no_property,for_free
77,car_or_other,own
78,life_insurance_or_aggreements,own
79,life_insurance_or_aggreements,own
80,life_insurance_or_aggreements,own
81,car_or_other,own
82,life_insurance_or_aggreements,own
83,life_insurance_or_aggreements,rent
84,real_estate,own
85,real_estate,own
86,real_estate,own
87,life_insurance_or_aggreements,own
88,unknown_or_no_property,for_free
89,car_or_other,own
90,real_estate,own
91,real_estate,own
92,real_estate,own
93,life_insurance_or_aggreements,own
94,unknown_or_no_property,rent
95,real_estate,own
96,unknown_or_no_property,rent
97,car_or_other,own
98,car_or_other,own
99,real_estate,own
100,life_insurance_or_aggreements,rent
101,real_estate,rent
102,car_or_other,rent
103,real_estate,own
104,car_or_other,rent
105,car_or_other,rent
106,car_or_other,own
107,unknown_or_no_property,own
108,car_or_other,own
109,life_insurance_or_aggreements,own
110,real_estate,own
111,car_or_other,own
112,life_insurance_or_aggreements,rent
113,real_estate,rent
114,real_estate,own
115,real_estate,own
116,real_estate,own
117,car_or_other,own
118,real_estate,rent
119,car_or_other,own
120,car_or_other,own
121,real_estate,own
122,car_or_other,rent
123,real_estate,rent
124,unknown_or_no_property,for_free
125,real_estate,rent
126,life_insurance_or_aggreements,own
127,real_estate,own
128,car_or_other,own
129,car_or_other,own
130,real_estate,own
131,car_or_other,own
132,life_insurance_or_aggreements,own
133,life_insurance_or_aggreements,own
134,unknown_or_no_property,for_free
135,real_estate,own
136,real_estate,own
137,car_or_other,own
138,real_estate,own
139,real_estate,own
140,car_or_other,rent
141,real_estate,own
142,unknown_or_no_property,own
143,car_or_other,own
144,car_or_other,own
145,life_insurance_or_aggreements,own
146,car_or_other,own
147,unknown_or_no_property,own
148,car_or_other,own
149,life_insurance_or_aggreements,own
150,car_or_other,own
151,unknown_or_no_property,for_free
152,life_insurance_or_aggreements,own
153,car_or_other,own
154,unknown_or_no_property,rent
155,car_or_other,rent
156,car_or_other,rent
157,real_estate,own
158,car_or_other,own
159,car_or_other,own
160,real_estate,own
161,real_estate,own
162,life_insurance_or_aggreements,own
163,life_insurance_or_aggreements,own
164,unknown_or_no_property,for_free
165,life_insurance_or_aggreements,own
166,car_or_other,own
167,car_or_other,own
168,real_estate,own
169,life_insurance_or_aggreements,rent
170,real_estate,own
171,car_or_other,rent
172,real_estate,own
173,life_insurance_or_aggreements,own
174,real_estate,own
175,life_insurance_or_aggreements,own
176,real_estate,own
177,car_or_other,own
178,car_or_other,own
179,car_or_other,rent
180,real_estate,own
181,car_or_other,own
182,real_estate,own
183,life_insurance_or_aggreements,own
184,real_estate,own
185,car_or_other,own
